IDs,smiles,clusters
ZINC000051971681,CC1(C)C[C@H](C(=O)O)N(C(=O)OC(C)(C)C)C1,17
ZINC000079426914,CC(C)(C)OC(=O)N[C@@H]1CCN(C(=O)C[NH3+])C1,17
ZINC000015446503,CC(C)(C)OC(=O)N1CCC[C@@H](CC=O)C1,17
ZINC000038956719,CC(C)(C)OC(=O)N1CCC[C@@H](C(=O)n2ccnc2)C1,17
ZINC000003041697,CNC(=O)c1ccc(=O)n(Cc2ccc(Cl)cc2Cl)c1,18
ZINC000000093708,Cn1c(=O)[nH]c(=O)c2c1ncn2Cc3ccccc3F,18
ZINC000005303612,Cn1c(=O)c(C(=O)Nc2ccc(F)cc2)cc3cccnc31,18
ZINC000007784203,Cc1ccc(F)cc1NC(=O)Cn2c(=O)cnc3ccccc32,18
ZINC000077470011,O=C(c1ccc[nH]c1=O)N2CCCC[C@H]2c3ccc(F)cc3,18
ZINC000100650352,CC(=O)N[C@H]1C(=O)N(Cc2ccccc2Cl)c3ccccc31,18
ZINC000016848190,O=C(Nc1ccncc1)c2ccc(=O)n(Cc3ccc(F)cc3)n2,18
ZINC000024425864,Cc1ccn2c(=O)cc(Cn3cnc4cc(F)c(F)cc43)nc2c1,18
ZINC000095949674,Cc1cccc(N[C@@H]2CC(=O)N(c3ccc(F)cc3F)C2=O)c1,18
ZINC000002230123,Cn1c2ccc(F)cc2c3ncn(Cc4ccco4)c(=O)c31,18
ZINC000048179634,COc1ccccc1-c2cnn(CC(=O)Nc3cc(C)nn3C)c2,19
ZINC000000541289,COc1ccc(C2=NN(C(C)=O)[C@@H](c3ccccc3)C2)c(O)c1,19
ZINC000038790859,COc1ccc(C(=O)Cn2nc(-c3ccccc3)ccc2=O)cc1,19
ZINC000071853497,COc1c(Cl)cc(NC(=O)Cn2cccn2)cc1Cl,19
ZINC000000096556,COc1ccc(C=O)cc1Cn2nc(C)cc2C,19
ZINC000040512924,COc1ccc(OC)c([C@@H](C)NC(=O)CCn2cccn2)c1,19
ZINC000053175022,COc1ccccc1[C@@H](C)NC(=O)Cn2nc(C)cc2C,19
ZINC000020253864,COc1cc(C(C)=O)ccc1OCc2nnc(C)o2,19
ZINC000190203369,Cc1cc(OCC(=O)Nc2cc(C)nn2C)c3nc(C)ccc3c1,19
ZINC000008060259,CCc1nnsc1C(=O)Nc2ccccc2,20
ZINC000018176076_1,Cc1ccc(NC(=O)CSc2nc(C)n[nH]2)cc1,20
ZINC000009088501,CCc1nnc(NC(=O)c2ccccc2)s1,20
ZINC000004072384,Cc1nnc(NC(=O)c2c(F)cccc2F)s1,20
ZINC000012863180,Cc1ccc(-c2cc(CC(=O)Nc3nnc(C)s3)no2)cc1,20
ZINC000001276758,CCOC(=O)Cc1nnc(NC(=O)c2cccs2)s1,20
ZINC000017024013,Nc1nnc(SCc2ccccc2)s1,20
ZINC000004943088,Cc1nnc(SCc2nnc(-c3ccccc3)o2)o1,20
ZINC000000795796,Cc1cccc(C(=O)Nc2nnc(C)s2)c1,20
ZINC000032325823,Cc1cccc(-c2nc(CSc3nncs3)no2)c1,20
ZINC000077977782,Cc1ncnc2c1CCN(S(=O)(=O)c3cccs3)C2,21
ZINC000216324975,Cn1cnnc1C2CCN(Cc3ccc(S(C)(=O)=O)cc3)CC2,21
ZINC000060296896,Cc1ccc(S(=O)(=O)N2CCC(n3cncn3)CC2)cc1,21
ZINC000015729975,CS(=O)(=O)N1CCN(c2cc(-c3ccccc3)ncn2)CC1,21
ZINC000069631809,Cc1cc(S(=O)(=O)N2CCC[C@H]2c3cccnc3)ccc1F,21
ZINC000041122272,Cc1noc([C@@H]2CCCN(S(=O)(=O)c3ccccc3)C2)n1,21
ZINC000000029393,C[C@@H]1CCCN(S(=O)(=O)c2ccccc2)C1,21
ZINC000004704586,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N2CCCCC2,21
ZINC000000264679,Cc1cc(S(=O)(=O)N2CCCCC2)c(Cl)cc1Cl,21
ZINC000091325320,Cn1c(Cn2ccnc2)nnc1C3CCN(S(C)(=O)=O)CC3,21
ZINC000013424681,CC(C)Oc1ccc(C=O)cc1C[NH+](C)C,22
ZINC000003416263,COc1ccc(C[N@H+](C)CC(=O)N[C@H](C)c2ccccc2)cc1OC,22
ZINC000055269552,CC[C@H](OC)C(=O)N(CC)CCOc1cccc(C)c1,22
ZINC000060776846,COc1ccc(CN(C)C(=O)c2cc(F)ccc2F)cc1,22
ZINC000002628831,COc1ccc(C(=O)N(C)CC(=O)Nc2ccc(C)cc2)cc1,22
ZINC000022858478,COc1cccc(C(=O)NC[C@@H](c2ccco2)N(C)C)c1,22
ZINC000005509909,COc1ccc(C(=O)N(C)Cc2ccccc2)cc1OC,22
ZINC000043638481,CCOC(=O)[C@H](C)N(C)Cc1ccccc1,22
ZINC000008040844,CC(C)Oc1ccc(C(=O)N(C)C)cc1,22
ZINC000017070016,COc1cccc(CNC(=O)N(C)Cc2ccccc2OC)c1,22
ZINC000097098690,Cc1ccc(S(=O)(=O)C[C@H](C)NC(=O)c2ccncc2)cc1,23
ZINC000035655449,CCS(=O)(=O)c1ccccc1C(=O)NC2CCCCC2,23
ZINC000195560808,C[C@H]1C[C@H](C)CC[C@H]1[NH2+]C[C@@H](C)[S@@](C)=O,23
ZINC000010511099,CCS(=O)(=O)c1ccc(C(=O)Nc2ccc(SC)cc2)cc1,23
ZINC000067561588,CC(C)N(CCc1ccccc1)C(=O)CS(C)(=O)=O,23
ZINC000042381861,C[C@H](Cc1ccco1)NC(=O)CCS(=O)(=O)c2ccccc2,23
ZINC000096439552,Cc1cc(C)cc(C[C@H](C)NC(=O)NCCCS(C)(=O)=O)c1,23
ZINC000242106199,C[C@@H]1[C@@H]([NH2+]Cc2ccc(CS(C)(=O)=O)cc2)CCC[C@H]1C,23
ZINC000071801208,Cc1ccc(C[S@](=O)CC(=O)Nc2cccc(F)c2)cc1,23
ZINC000044909239,CCCNC(=O)[C@@H](C)S(=O)(=O)Cc1cc(C(C)=O)ccc1OC,23
ZINC000005576461,Cc1cccc(OC(=O)Cc2ccc3c(c2)OCCO3)c1,24
ZINC000001581566,CC(=O)Oc1cc2c(cc1Cc3ccc4c(c3)OCO4)OCO2,24
ZINC000000034985,COc1cc(C=O)cc(OC)c1OC(=O)c2ccco2,24
ZINC000032620474,Cc1c(C(=O)c2ccccc2)c(=O)oc3cc(O)ccc13,24
ZINC000016041025,Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,24
ZINC000000051035,O=c1cc(O)c2c(F)c(F)c(F)c(F)c2o1,24
ZINC000251986117,CO[C@@H]1O[C@H](C)[C@@H]2OC(C)(C)O[C@@H]2[C@H]1OC,24
ZINC000000180387,Cc1ccc(C(=O)COC(=O)c2cc3ccccc3oc2=O)cc1C,24
ZINC000018089184,O=C(C1=C(O)c2ccccc2C1=O)c3ccccc3,24
ZINC000000103696,COc1cc2cc(C(=O)O)c(=O)oc2cc1OC,24
ZINC000040510994,CC[N@H+]1CCC[C@@H]1CNC(=O)CCc2nc(-c3cccnc3)no2,25
ZINC000169676651,C1CCC(COCCc2noc([C@H]3CCC[NH2+]C3)n2)C1,25
